FundingOrganization,FY,A1. Amyloid,A2. Tau,A3. Presenilins,A4. ApoE and Lipids,A5. Brain Circuits and Synapses,A6. Cell Death,A7. Immunity and Inflammation,A8. Bioenergetics,A9. Vascular/ Metabolic Factors,A10. Hormones,A11. Genetics,A12. Other Pathogenic Mechanisms,A. Molecular Pathogenesis and Physiology of Alzheimer's Disease (Total Funding),B1. Fluid Biomarkers,B2. Imaging Biomarkers,"B3. Cognitive, Behavioral and Functional Assessment",B4. Multimodal Biomarkers,B5. Novel Biomarkers,B6. Novel Methodologies and Techniques,B7. Other,"B. Diagnosis, Assessment and Disease Monitoring (Total Funding)",C1. Drug Discovery (small molecules and biologics) ,C2. Preclinical Drug Development (small molecules and biologics) ,C3. Preclinical Proof of Concept for Non-Pharmacological Interventions ,C4. Clinical Trial Design,C5. Early stage Clinical Drug Development (Phase I and II Clinical Trials),C6. Late Stage Clinical Drug Development  (Phase III Clinical Trials) ,C7. Non-Pharmacological Interventions: Clinical Trials ,C8. Clinical Therapy Development for the Neuropsychiatric Symptoms of AD,C9. Clinical Ethics,C10. Other,C. Translational Research and Clinical Interventions (Total Funding),D1. Genetic/ Epigenetic Risks,D2. Cardiovascular and Metabolic Factors,D3. Nutrition and Other Environmental Factors,D4. Multimodal Risk Factors,D5. Other,D. Epidemiology (Total Funding),E1. Care Interventions and Quality of Life,E2. Technology Assisted Care,E3. Caregiver Support,E4. Cultural Values and Beliefs,E5. Economic Burden of Alzheimer's Disease,E6. Other,"E. Care, Support and Health Economics of Alzheimer's Disease (Total Funding)",TotalADResearchFunding
National Cancer Institute (NIH/NCI),2011,642558,0,0,0,0,0,443620,0,0,0,0,0,1086178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1086178
National Institute on Minority Health and Health Disparities (NIH/NIMHD),2008,0,0,219658,0,0,0,0,0,0,0,0,0,219658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219658
National Institute on Minority Health and Health Disparities (NIH/NIMHD),2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Institute on Minority Health and Health Disparities (NIH/NIMHD),2010,0,0,219658,0,0,0,0,0,0,0,0,0,219658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219658
National Institute on Minority Health and Health Disparities (NIH/NIMHD),2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Center for Research Resources (NIH/NCRR),2008,27873,0,0,104123,0,0,0,0,0,0,0,0,131996,0,0,35600,0,0,0,0,35600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10305,0,10305,0,0,0,0,0,0,0,177901
National Center for Research Resources (NIH/NCRR),2009,67637,0,0,106598,0,0,0,0,0,0,0,0,174235,0,0,54800,0,0,0,0,54800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3406,0,3406,0,0,0,0,0,0,0,232441
National Center for Research Resources (NIH/NCRR),2010,11066,0,0,0,0,0,0,190270,0,0,0,0,201336,0,1034435,54827,216047,0,0,0,1305309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3039,0,3039,0,0,0,0,0,0,0,1509684
National Center for Research Resources (NIH/NCRR),2011,15376,0,0,0,0,0,0,101886,0,0,0,0,117262,0,0,41159,0,0,0,0,41159,0,0,0,0,0,0,0,0,0,0,0,0,43647,0,0,0,43647,0,0,0,0,0,0,0,202068
National Eye Institute (NIH/NEI),2008,0,0,0,0,0,0,230790,0,0,0,0,0,230790,0,0,0,0,0,0,266315,266315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497105
National Eye Institute (NIH/NEI),2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271750,271750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271750
National Eye Institute (NIH/NEI),2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269033,269033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269033
National Eye Institute (NIH/NEI),2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Human Genome Research Institute (NIH/NHGRI),2008,0,0,0,0,0,0,0,0,0,0,1206780,0,1206780,0,0,0,0,0,572870,0,572870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1779650
National Human Genome Research Institute (NIH/NHGRI),2009,0,0,0,0,0,0,0,0,0,0,1158136,0,1158136,0,0,0,0,0,362180,0,362180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520316
National Human Genome Research Institute (NIH/NHGRI),2010,0,0,0,0,0,0,0,0,0,0,889184,0,889184,0,0,0,0,0,601513,0,601513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490697
National Human Genome Research Institute (NIH/NHGRI),2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596485,0,596485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596485
"National Heart, Lung, and Blood Institute (NIH/NHLBI)",2008,16074,0,0,705652,0,1356108,0,0,0,0,359270,0,2437104,0,0,0,378303,0,0,0,378303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2815407
"National Heart, Lung, and Blood Institute (NIH/NHLBI)",2009,0,0,0,716837,0,1915627,0,0,0,0,0,0,2632464,0,0,0,379817,0,0,0,379817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3012281
"National Heart, Lung, and Blood Institute (NIH/NHLBI)",2010,0,0,0,791796,0,0,0,0,0,0,0,0,791796,0,3360279,0,372460,0,0,0,3732739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4524535
"National Heart, Lung, and Blood Institute (NIH/NHLBI)",2011,248802,0,0,396250,0,0,0,0,0,0,0,0,645052,0,4322072,0,0,0,0,0,4322072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4967124
National Institute on Aging (NIH/NIA),2008,28190367,7944598,2234329,10517592,6839218,8471850,7660073,3077127,2575606,3348344,12461879,0,93320983,2585921,16117370,9244572,14972211,2510207,297164,0,45727445,8106818,7014532,463151,0,6184391,1103923,5183796,1882954,987746,0,30927311,5303692,2282498,1122748,19676818,65268,28451024,2170912,112527,3749848,0,1001121,0,7034408,205461171
National Institute on Aging (NIH/NIA),2009,36090008,7790033,2670843,11579977,9647717,5920767,11329576,3202345,3613488,4233938,28273059,322980,124674731,4173413,30307430,10194590,15397815,5319162,795344,0,66187754,9450059,8910141,463151,55440,8720016,6641998,7247497,3063219,1009169,0,45560690,6599618,2698046,1775325,23408931,423448,34905368,1514411,137997,4285210,0,1526997,41176,7505791,278834334
National Institute on Aging (NIH/NIA),2010,33838530,5700568,2350438,9305979,9658427,5898311,10181577,1694990,3859958,3298068,21422936,478595,107688377,4268799,32091196,12952314,18893660,3768757,1236889,0,73211615,9892526,10513724,258785,54886,7653056,9653219,10716817,2942712,992589,0,52678314,6184508,3177473,1706152,27450971,187659,38706763,1648099,0,3503351,0,1582722,0,6734172,279019241
National Institute on Aging (NIH/NIA),2011,30282974,6352686,1862937,9529389,6816306,6296015,7902777,3422786,3617098,1827969,15407741,3927526,97246204,4358521,23790577,6830878,23126857,1475643,1295924,0,60878400,11839512,9341823,0,561235,5321612,115344,7898353,3383559,0,0,38461438,6067388,1664630,1718738,18169904,2195849,29816509,1339084,135061,2457950,0,882752,41800,4856647,231259198
National Institute of Allergy and Infectious Diseases (NIH/NIAID),2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Institute of Allergy and Infectious Diseases (NIH/NIAID),2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Institute of Allergy and Infectious Diseases (NIH/NIAID),2010,433260,0,0,0,0,0,0,0,0,0,0,0,433260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433260
National Institute of Allergy and Infectious Diseases (NIH/NIAID),2011,470727,0,0,0,0,0,423750,0,0,0,0,0,894477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894477
National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIH/NIAMS),2008,300563,0,0,0,0,0,0,0,0,0,0,0,300563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300563
National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIH/NIAMS),2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIH/NIAMS),2010,803844,0,0,0,0,0,0,0,0,0,0,0,803844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,803844
National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIH/NIAMS),2011,493388,0,0,0,0,0,0,0,0,0,0,0,493388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493388
National Institute of Biomedical Imaging and Bioengineering (NIH/NIBIB),2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,855711,0,0,0,344872,0,1200583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200583
National Institute of Biomedical Imaging and Bioengineering (NIH/NIBIB),2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682025,0,0,0,448084,0,1130109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130109
National Institute of Biomedical Imaging and Bioengineering (NIH/NIBIB),2010,40648,0,0,0,0,0,0,0,0,0,0,0,40648,0,661281,0,0,0,341424,0,1002705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1043353
National Institute of Biomedical Imaging and Bioengineering (NIH/NIBIB),2011,25512,0,0,0,0,0,0,0,0,0,0,0,25512,0,90072,324000,0,0,718809,0,1132881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158393
National Institute of Child Health and Human Development (NIH/NICHD),2008,669254,198429,0,9516,670698,0,0,188650,0,0,0,521790,2258337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2258337
National Institute of Child Health and Human Development (NIH/NICHD),2009,983524,0,0,44632,578030,0,0,188650,0,0,0,50054,1844890,0,0,0,952115,0,0,0,952115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2797005
National Institute of Child Health and Human Development (NIH/NICHD),2010,973688,0,0,9422,588346,0,0,50654,421083,0,0,0,2043193,0,0,137144,1050182,0,0,0,1187326,0,0,0,0,0,0,0,0,0,0,0,217974,0,0,0,0,217974,0,0,0,0,0,0,0,3448493
National Institute of Child Health and Human Development (NIH/NICHD),2011,1013241,0,0,0,576352,0,0,0,378334,0,0,0,1967927,0,0,131216,923200,0,0,0,1054416,0,0,0,0,0,0,0,0,0,0,0,227241,0,0,0,0,227241,0,0,0,0,0,0,0,3249584
National Institute on Drug Abuse (NIH/NIDA),2008,0,0,0,0,273956,0,0,0,0,0,0,0,273956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273956
National Institute on Drug Abuse (NIH/NIDA),2009,0,0,0,0,0,0,376250,0,0,0,0,0,376250,0,0,0,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,401250
National Institute on Drug Abuse (NIH/NIDA),2010,0,0,0,0,225000,0,372488,0,0,0,0,0,597488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597488
National Institute on Drug Abuse (NIH/NIDA),2011,48750,0,0,0,181875,0,358912,0,0,0,0,0,589537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589537
National Institute on Deafness and Other Communication Disorders (NIH/NIDCD),2008,0,0,0,190606,0,0,0,0,0,0,0,0,190606,0,315589,0,0,0,0,0,315589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506195
National Institute on Deafness and Other Communication Disorders (NIH/NIDCD),2009,0,0,0,0,728029,0,0,0,0,0,0,0,728029,0,527155,0,733440,406309,750001,0,2416905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326188,0,0,0,0,0,326188,3471122
National Institute on Deafness and Other Communication Disorders (NIH/NIDCD),2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486745,0,886510,384030,669843,0,2427128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322926,0,0,0,0,0,322926,2750054
National Institute on Deafness and Other Communication Disorders (NIH/NIDCD),2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493088,869297,192498,663145,0,2218028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312592,0,0,0,0,0,312592,2530620
National Institute of Diabetes and Digestive and Kidney Diseases (NIH/NIDDK),2008,1755027,0,0,0,0,0,0,0,636834,0,0,326494,2718355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2718355
National Institute of Diabetes and Digestive and Kidney Diseases (NIH/NIDDK),2009,2792550,0,0,0,0,0,724055,0,712775,0,0,0,4229380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4229380
National Institute of Diabetes and Digestive and Kidney Diseases (NIH/NIDDK),2010,2521165,0,0,0,0,0,0,0,859489,0,0,0,3380654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185000,0,0,185000,3565654
National Institute of Diabetes and Digestive and Kidney Diseases (NIH/NIDDK),2011,3018471,0,0,0,0,0,0,0,743342,0,0,387671,4149484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183150,0,0,183150,4332634
National Institute of Environmental Health Sciences (NIH/NIEHS),2008,1374507,0,0,288563,0,0,1999178,0,0,0,0,0,3662248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3662248
National Institute of Environmental Health Sciences (NIH/NIEHS),2009,678444,0,0,288563,0,0,1726382,0,478205,690060,0,258193,4119847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262565,262565,0,0,0,0,0,0,0,4382412
National Institute of Environmental Health Sciences (NIH/NIEHS),2010,589531,0,0,313278,0,0,0,0,475553,512837,0,348773,2239972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76880,0,0,0,202009,278889,0,0,0,0,0,0,0,2518861
National Institute of Environmental Health Sciences (NIH/NIEHS),2011,0,0,0,282821,0,0,0,0,0,0,0,315069,597890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77220,0,0,0,0,77220,0,0,0,0,0,0,0,675110
National Institute of General Medical Sciences (NIH/NIGMS),2008,1480301,252643,0,41199,0,1026985,0,0,0,0,0,0,2801128,0,0,109357,0,293935,0,0,403292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3204420
National Institute of General Medical Sciences (NIH/NIGMS),2009,2323394,267744,0,356561,0,1439439,0,615104,0,0,0,0,5002242,0,0,104413,0,261935,0,0,366348,314161,0,0,0,0,0,0,0,0,0,314161,0,0,0,0,0,0,0,0,0,0,0,0,0,5682751
National Institute of General Medical Sciences (NIH/NIGMS),2010,1558646,0,0,325114,0,1317707,0,626685,0,0,0,0,3828152,0,0,108750,0,103704,0,0,212454,272664,0,0,0,0,0,0,0,0,0,272664,0,0,0,0,0,0,0,0,0,0,0,0,0,4313270
National Institute of General Medical Sciences (NIH/NIGMS),2011,1822672,287452,0,322740,0,620369,0,619904,0,0,0,0,3673137,0,0,107663,0,0,0,0,107663,275403,0,0,0,0,0,0,0,0,0,275403,0,0,0,0,0,0,0,0,0,0,0,0,0,4056203
National Institute of Mental Health (NIH/NIMH),2008,0,338491,0,0,570116,0,42680,0,0,326250,785119,634059,2696715,0,1630442,158338,752729,0,321433,0,2862942,0,0,0,0,0,0,0,1346780,282225,0,1629005,0,0,0,40000,1038323,1078323,400577,0,127120,0,0,0,527697,8794682
National Institute of Mental Health (NIH/NIMH),2009,513895,338491,0,0,0,0,731770,0,0,326250,761480,634131,3306017,0,0,0,613481,0,321433,0,934914,0,0,0,0,0,0,0,611337,252282,0,863619,0,0,0,0,1763480,1763480,781714,0,130707,0,0,0,912421,7780451
National Institute of Mental Health (NIH/NIMH),2010,539074,338491,0,0,0,0,1216977,0,0,326250,1173359,0,3594151,0,0,0,641846,0,0,0,641846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1103267,1103267,596342,0,0,0,0,0,596342,5935606
National Institute of Mental Health (NIH/NIMH),2011,148043,0,0,41800,0,0,0,0,0,322988,1125894,0,1638725,0,0,0,610982,0,0,0,610982,47750,0,0,0,0,0,0,0,0,0,47750,0,0,0,0,1262813,1262813,0,0,0,0,0,0,0,3560270
National Institute of Neurological Disorders and Stroke (NIH/NINDS),2008,7126343,2716879,2204351,978583,1515961,1899566,1981304,0,3917566,483859,2590367,769340,26184119,366875,1476524,498437,0,0,267630,0,2609466,3153320,567335,0,0,0,0,0,0,0,0,3720655,0,171504,0,781441,0,952945,0,0,32172,0,0,0,32172,33499357
National Institute of Neurological Disorders and Stroke (NIH/NINDS),2009,11121288,3415179,2449163,1255706,2555561,1994093,1400208,0,3805869,259001,1376556,597114,30229738,0,540675,0,234461,0,712096,0,1487232,3236749,343217,0,0,0,0,0,0,0,0,3579966,150838,1099865,0,804068,0,2054771,0,0,0,0,0,0,0,37351707
National Institute of Neurological Disorders and Stroke (NIH/NINDS),2010,11910106,2653669,1750272,1202741,2199927,3161140,1448994,0,3457472,0,3161626,1102092,32048039,0,507219,0,686372,0,352675,0,1546266,2506143,938392,0,0,0,0,0,0,0,0,3444535,174143,773396,0,725224,0,1672763,0,0,0,0,0,0,0,38711603
National Institute of Neurological Disorders and Stroke (NIH/NINDS),2011,9893963,3070821,2459645,1153010,2806603,2669927,1484600,0,1675418,0,3054771,1071914,29340672,0,777331,0,1127686,0,422500,0,2327517,2818494,2162599,0,0,0,0,0,0,0,0,4981093,140918,648507,0,447201,0,1236626,0,0,0,0,0,0,0,37885908
National Institute of Nursing Research (NIH/NINR),2008,0,0,0,0,0,0,0,0,429188,0,0,0,429188,0,0,96912,0,0,0,0,96912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1623609,0,1308122,0,0,89479,3021210,3547310
National Institute of Nursing Research (NIH/NINR),2009,0,0,0,0,0,0,0,0,429188,0,0,0,429188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306681,0,1503096,0,0,74964,2884741,3313929
National Institute of Nursing Research (NIH/NINR),2010,0,0,0,0,0,0,0,0,511435,0,0,0,511435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1386393,0,1213199,0,0,0,2599592,3111027
National Institute of Nursing Research (NIH/NINR),2011,0,0,0,0,0,0,0,0,420648,0,0,0,420648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698880,0,960938,0,0,0,1659818,2080466
Office of the Director (NIH/OD),2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of the Director (NIH/OD),2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Office of the Director (NIH/OD),2010,0,0,0,0,1732986,0,0,0,0,0,0,0,1732986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1732986
Office of the Director (NIH/OD),2011,0,0,0,0,777150,0,0,0,0,0,0,0,777150,0,2272500,0,0,0,0,0,2272500,2407500,0,0,0,0,0,0,0,0,0,2407500,0,0,0,0,0,0,0,0,0,0,0,0,0,5457150
National Institutes of Health (NIH),2008,41428523,11451040,4658338,12835834,9869949,12754509,12374013,3267228,7559194,4158453,17874679,2315576,140547336,2952796,20395636,10143216,16103243,2931920,1803969,266315,54597095,11260138,7581867,1950742,0,6184391,1103923,7176867,3229734,1269971,0,39757633,5303692,2454002,1122748,20508564,1103591,30492597,4492328,112527,5433149,0,1001121,368167,11407292,276801953
National Institutes of Health (NIH),2009,55832670,11869351,5120006,14348874,13509337,11269926,16724129,4006099,9039525,5509249,31772019,1926750,180927935,4173413,32057285,10353803,18311129,6115184,3389138,271750,74671702,13025969,9253358,2088530,55440,8720016,6641998,7395027,3674556,1261451,0,52116345,6750456,3797911,1775325,24216405,2449493,38989590,4217935,137997,6101751,0,1526997,275390,12260070,358965642
National Institutes of Health (NIH),2010,54288652,8750632,4100710,11948330,14404686,10377158,13765908,2562599,9584990,4137155,26647105,1998096,162566021,4268799,38141155,13253035,22747077,4384269,3202344,269033,86265712,12671333,11452116,1771417,54886,7653056,9653219,10958418,2942712,992589,0,58149746,6653505,3950869,1706152,28321825,1492935,42125286,3953760,0,4716550,185000,1582722,0,10438032,359544797
National Institutes of Health (NIH),2011,48124477,9768284,4322582,11726010,11158286,9586311,10717185,4144576,6834840,2150957,19588406,5702180,143824094,4358521,31252552,7928004,26658022,1795919,3696863,0,75689881,17459011,11504422,1546349,561235,5321612,115344,7898353,3383559,0,0,47789885,6512767,2623655,1718738,18743955,3458662,33057777,2350556,135061,3581058,183150,882752,41800,7174377,307536014
