"","FundingOrganization","FY","A1..Amyloid","A2..Tau","A3..Presenilins","A4..ApoE.and.Lipids","A5..Brain.Circuits.and.Synapses","A6..Cell.Death","A7..Immunity.and.Inflammation","A8..Bioenergetics","A9..Vascular..Metabolic.Factors","A10..Hormones","A11..Genetics","A12..Other.Pathogenic.Mechanisms","A..Molecular.Pathogenesis.and.Physiology.of.Alzheimer.s.Disease..Total.Funding.","B1..Fluid.Biomarkers","B2..Imaging.Biomarkers","B3..Cognitive..Behavioral.and.Functional.Assessment","B4..Multimodal.Biomarkers","B5..Novel.Biomarkers","B6..Novel.Methodologies.and.Techniques","B7..Other","B..Diagnosis..Assessment.and.Disease.Monitoring..Total.Funding.","C1..Drug.Discovery..small.molecules.and.biologics.","C2..Preclinical.Drug.Development..small.molecules.and.biologics.","C3..Preclinical.Proof.of.Concept.for.Non.Pharmacological.Interventions","C4..Clinical.Trial.Design","C5..Early.stage.Clinical.Drug.Development..Phase.I.and.II.Clinical.Trials.","C6..Late.Stage.Clinical.Drug.Development...Phase.III.Clinical.Trials.","C7..Non.Pharmacological.Interventions..Clinical.Trials","C8..Clinical.Therapy.Development.for.the.Neuropsychiatric.Symptoms.of.AD","C9..Clinical.Ethics","C10..Other","C..Translational.Research.and.Clinical.Interventions..Total.Funding.","D1..Genetic..Epigenetic.Risks","D2..Cardiovascular.and.Metabolic.Factors","D3..Nutrition.and.Other.Environmental.Factors","D4..Multimodal.Risk.Factors","D5..Other","D..Epidemiology..Total.Funding.","E1..Care.Interventions.and.Quality.of.Life","E2..Technology.Assisted.Care","E3..Caregiver.Support","E4..Cultural.Values.and.Beliefs","E5..Economic.Burden.of.Alzheimer.s.Disease","E6..Other","E..Care..Support.and.Health.Economics.of.Alzheimer.s.Disease..Total.Funding.","TotalADResearchFunding"
"44","National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIH/NIAMS)",2011,493388,0,0,0,0,0,0,0,0,0,0,0,493388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493388
"48","National Institute of Biomedical Imaging and Bioengineering (NIH/NIBIB)",2011,25512,0,0,0,0,0,0,0,0,0,0,0,25512,0,90072,324000,0,0,718809,0,1132881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158393
"52","National Institute of Child Health and Human Development (NIH/NICHD)",2011,1013241,0,0,0,576352,0,0,0,378334,0,0,0,1967927,0,0,131216,923200,0,0,0,1054416,0,0,0,0,0,0,0,0,0,0,0,227241,0,0,0,0,227241,0,0,0,0,0,0,0,3249584
"56","National Institute on Drug Abuse (NIH/NIDA)",2011,48750,0,0,0,181875,0,358912,0,0,0,0,0,589537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589537
"60","National Institute on Deafness and Other Communication Disorders (NIH/NIDCD)",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493088,869297,192498,663145,0,2218028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312592,0,0,0,0,0,312592,2530620
"64","National Institute of Diabetes and Digestive and Kidney Diseases (NIH/NIDDK)",2011,3018471,0,0,0,0,0,0,0,743342,0,0,387671,4149484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183150,0,0,183150,4332634
"68","National Institute of Environmental Health Sciences (NIH/NIEHS)",2011,0,0,0,282821,0,0,0,0,0,0,0,315069,597890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77220,0,0,0,0,77220,0,0,0,0,0,0,0,675110
"72","National Institute of General Medical Sciences (NIH/NIGMS)",2011,1822672,287452,0,322740,0,620369,0,619904,0,0,0,0,3673137,0,0,107663,0,0,0,0,107663,275403,0,0,0,0,0,0,0,0,0,275403,0,0,0,0,0,0,0,0,0,0,0,0,0,4056203
"76","National Institute of Mental Health (NIH/NIMH)",2011,148043,0,0,41800,0,0,0,0,0,322988,1125894,0,1638725,0,0,0,610982,0,0,0,610982,47750,0,0,0,0,0,0,0,0,0,47750,0,0,0,0,1262813,1262813,0,0,0,0,0,0,0,3560270
"80","National Institute of Neurological Disorders and Stroke (NIH/NINDS)",2011,9893963,3070821,2459645,1153010,2806603,2669927,1484600,0,1675418,0,3054771,1071914,29340672,0,777331,0,1127686,0,422500,0,2327517,2818494,2162599,0,0,0,0,0,0,0,0,4981093,140918,648507,0,447201,0,1236626,0,0,0,0,0,0,0,37885908
"84","National Institute of Nursing Research (NIH/NINR)",2011,0,0,0,0,0,0,0,0,420648,0,0,0,420648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698880,0,960938,0,0,0,1659818,2080466
"88","Office of the Director (NIH/OD)",2011,0,0,0,0,777150,0,0,0,0,0,0,0,777150,0,2272500,0,0,0,0,0,2272500,2407500,0,0,0,0,0,0,0,0,0,2407500,0,0,0,0,0,0,0,0,0,0,0,0,0,5457150
"92","National Institutes of Health (NIH)",2011,48124477,9768284,4322582,11726010,11158286,9586311,10717185,4144576,6834840,2150957,19588406,5702180,143824094,4358521,31252552,7928004,26658022,1795919,3696863,0,75689881,17459011,11504422,1546349,561235,5321612,115344,7898353,3383559,0,0,47789885,6512767,2623655,1718738,18743955,3458662,33057777,2350556,135061,3581058,183150,882752,41800,7174377,307536014
"96","Administration on Aging (AoA)",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3227887,0,0,0,3227887,3227887
"100","Agency for Healthcare Research and Quality (AHRQ)",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151146,151146,329495,0,0,0,0,0,329495,480641
"104","Alzheimer's Association",2011,2097782,895935,400000,0,1948504,497443,1e+05,1e+05,650000,0,448749,0,7138413,650000,499988,0,0,1e+05,0,0,1249988,1149890,0,0,0,0,0,399223,0,0,0,1549113,149831,99662,100000,200000,199778,749271,579990,200000,0,200000,0,0,979990,11666775
"108","Alzheimer's Drug Discovery Foundation",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571400,0,0,0,0,0,571400,3539285,1e+05,0,0,738000,0,0,0,0,136000,4513285,0,0,0,0,0,0,0,0,0,0,0,0,0,5084685
"112","Alzheimer's Research UK",2011,32072.83,1167125.45,0,48297.62,47193.86,94987.15,833665.77,0,1189325.17,0,0,47690.91,3460358.76,0,206822.05,0,142442.05,0,38132.82,0,387396.92,0,159914.49,0,0,0,0,0,0,0,0,159914.49,0,0,0,0,0,0,0,0,0,0,0,0,0,4007670.16
"116","Centers for Disease Control and Prevention (CDC)",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240000,240000,0,0,0,0,0,0,0,240000
"120","Department of Veterans Affairs (VA)",2011,847040,569951,0,0,143913,634200,1417274,0,150000,0,268268,0,4030646,0,513368,0,476498,0,0,0,989866,446500,150000,0,0,0,0,0,0,0,0,596500,0,0,0,0,0,0,0,0,0,0,0,0,0,5617012
"124","United States Army Medical Research and Materiel Command ",2011,0,2140000,0,0,0,0,333693,0,0,0,239470,0,2713163,339424,340434,361639,6e+06,0,0,0,7041497,0,0,0,0,360417,0,0,0,0,0,360417,721423,0,0,480000,0,1201423,935646,740440,0,0,0,0,1676086,12992586
