"","FundingOrganization","FY","A1..Amyloid","A2..Tau","A3..Presenilins","A4..ApoE.and.Lipids","A5..Brain.Circuits.and.Synapses","A6..Cell.Death","A7..Immunity.and.Inflammation","A8..Bioenergetics","A9..Vascular..Metabolic.Factors","A10..Hormones","A11..Genetics","A12..Other.Pathogenic.Mechanisms","A..Molecular.Pathogenesis.and.Physiology.of.Alzheimer.s.Disease..Total.Funding.","B1..Fluid.Biomarkers","B2..Imaging.Biomarkers","B3..Cognitive..Behavioral.and.Functional.Assessment","B4..Multimodal.Biomarkers","B5..Novel.Biomarkers","B6..Novel.Methodologies.and.Techniques","B7..Other","B..Diagnosis..Assessment.and.Disease.Monitoring..Total.Funding.","C1..Drug.Discovery..small.molecules.and.biologics.","C2..Preclinical.Drug.Development..small.molecules.and.biologics.","C3..Preclinical.Proof.of.Concept.for.Non.Pharmacological.Interventions","C4..Clinical.Trial.Design","C5..Early.stage.Clinical.Drug.Development..Phase.I.and.II.Clinical.Trials.","C6..Late.Stage.Clinical.Drug.Development...Phase.III.Clinical.Trials.","C7..Non.Pharmacological.Interventions..Clinical.Trials","C8..Clinical.Therapy.Development.for.the.Neuropsychiatric.Symptoms.of.AD","C9..Clinical.Ethics","C10..Other","C..Translational.Research.and.Clinical.Interventions..Total.Funding.","D1..Genetic..Epigenetic.Risks","D2..Cardiovascular.and.Metabolic.Factors","D3..Nutrition.and.Other.Environmental.Factors","D4..Multimodal.Risk.Factors","D5..Other","D..Epidemiology..Total.Funding.","E1..Care.Interventions.and.Quality.of.Life","E2..Technology.Assisted.Care","E3..Caregiver.Support","E4..Cultural.Values.and.Beliefs","E5..Economic.Burden.of.Alzheimer.s.Disease","E6..Other","E..Care..Support.and.Health.Economics.of.Alzheimer.s.Disease..Total.Funding.","TotalADResearchFunding"
"59","National Institute on Deafness and Other Communication Disorders (NIH/NIDCD)",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486745,0,886510,384030,669843,0,2427128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322926,0,0,0,0,0,322926,2750054
"63","National Institute of Diabetes and Digestive and Kidney Diseases (NIH/NIDDK)",2010,2521165,0,0,0,0,0,0,0,859489,0,0,0,3380654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185000,0,0,185000,3565654
"67","National Institute of Environmental Health Sciences (NIH/NIEHS)",2010,589531,0,0,313278,0,0,0,0,475553,512837,0,348773,2239972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76880,0,0,0,202009,278889,0,0,0,0,0,0,0,2518861
"71","National Institute of General Medical Sciences (NIH/NIGMS)",2010,1558646,0,0,325114,0,1317707,0,626685,0,0,0,0,3828152,0,0,108750,0,103704,0,0,212454,272664,0,0,0,0,0,0,0,0,0,272664,0,0,0,0,0,0,0,0,0,0,0,0,0,4313270
"75","National Institute of Mental Health (NIH/NIMH)",2010,539074,338491,0,0,0,0,1216977,0,0,326250,1173359,0,3594151,0,0,0,641846,0,0,0,641846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1103267,1103267,596342,0,0,0,0,0,596342,5935606
"79","National Institute of Neurological Disorders and Stroke (NIH/NINDS)",2010,11910106,2653669,1750272,1202741,2199927,3161140,1448994,0,3457472,0,3161626,1102092,32048039,0,507219,0,686372,0,352675,0,1546266,2506143,938392,0,0,0,0,0,0,0,0,3444535,174143,773396,0,725224,0,1672763,0,0,0,0,0,0,0,38711603
"83","National Institute of Nursing Research (NIH/NINR)",2010,0,0,0,0,0,0,0,0,511435,0,0,0,511435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1386393,0,1213199,0,0,0,2599592,3111027
"87","Office of the Director (NIH/OD)",2010,0,0,0,0,1732986,0,0,0,0,0,0,0,1732986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1732986
"91","National Institutes of Health (NIH)",2010,54288652,8750632,4100710,11948330,14404686,10377158,13765908,2562599,9584990,4137155,26647105,1998096,162566021,4268799,38141155,13253035,22747077,4384269,3202344,269033,86265712,12671333,11452116,1771417,54886,7653056,9653219,10958418,2942712,992589,0,58149746,6653505,3950869,1706152,28321825,1492935,42125286,3953760,0,4716550,185000,1582722,0,10438032,359544797
"95","Administration on Aging (AoA)",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4215853,0,0,0,4215853,4215853
"99","Agency for Healthcare Research and Quality (AHRQ)",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151742,151742,8724119,0,0,0,0,0,8724119,8875861
"103","Alzheimer's Association",2010,2229624,410000,80000,80000,599970,440000,4e+05,719999,960000,0,160000,0,6079593,200000,929201,80000,6e+05,0,80000,0,1889201,3119210,0,80000,0,449966,0,0,0,0,0,3649176,0,80000,0,77422,0,157422,840000,364040,0,180000,0,0,1384040,13159432
"107","Alzheimer's Drug Discovery Foundation",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,247482,115000,0,150000,0,0,0,512482,3096668,150000,152000,0,1974300,0,70000,0,0,0,5442968,0,0,0,0,0,0,0,0,0,0,0,0,0,5955450
"111","Alzheimer's Research UK",2010,1043709.18,0,0,0,0,0,138617.48,0,161052.35,0,756161.29,471684.86,2571225.16,0,250533.7,230295.94,2428996.29,0,0,0,2909825.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5481051.1
"115","Centers for Disease Control and Prevention (CDC)",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119","Department of Veterans Affairs (VA)",2010,1923819.23,876247.88,0,83437.89,479783.31,1355261.69,2457320.6,176088.09,318600,0,302778.62,270614.24,8243951.54,0,366397.87,456076,137200,337465.26,0,0,1297139.14,583900,0,0,0,0,0,2692347.55,41222.7,0,308224.4,3625694.65,0,0,0,0,0,0,90020,0,832262,0,47159,335489,1304930,14471715.33
"123","United States Army Medical Research and Materiel Command ",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
