"","FundingOrganization","FY","A1..Amyloid","A2..Tau","A3..Presenilins","A4..ApoE.and.Lipids","A5..Brain.Circuits.and.Synapses","A6..Cell.Death","A7..Immunity.and.Inflammation","A8..Bioenergetics","A9..Vascular..Metabolic.Factors","A10..Hormones","A11..Genetics","A12..Other.Pathogenic.Mechanisms","A..Molecular.Pathogenesis.and.Physiology.of.Alzheimer.s.Disease..Total.Funding.","B1..Fluid.Biomarkers","B2..Imaging.Biomarkers","B3..Cognitive..Behavioral.and.Functional.Assessment","B4..Multimodal.Biomarkers","B5..Novel.Biomarkers","B6..Novel.Methodologies.and.Techniques","B7..Other","B..Diagnosis..Assessment.and.Disease.Monitoring..Total.Funding.","C1..Drug.Discovery..small.molecules.and.biologics.","C2..Preclinical.Drug.Development..small.molecules.and.biologics.","C3..Preclinical.Proof.of.Concept.for.Non.Pharmacological.Interventions","C4..Clinical.Trial.Design","C5..Early.stage.Clinical.Drug.Development..Phase.I.and.II.Clinical.Trials.","C6..Late.Stage.Clinical.Drug.Development...Phase.III.Clinical.Trials.","C7..Non.Pharmacological.Interventions..Clinical.Trials","C8..Clinical.Therapy.Development.for.the.Neuropsychiatric.Symptoms.of.AD","C9..Clinical.Ethics","C10..Other","C..Translational.Research.and.Clinical.Interventions..Total.Funding.","D1..Genetic..Epigenetic.Risks","D2..Cardiovascular.and.Metabolic.Factors","D3..Nutrition.and.Other.Environmental.Factors","D4..Multimodal.Risk.Factors","D5..Other","D..Epidemiology..Total.Funding.","E1..Care.Interventions.and.Quality.of.Life","E2..Technology.Assisted.Care","E3..Caregiver.Support","E4..Cultural.Values.and.Beliefs","E5..Economic.Burden.of.Alzheimer.s.Disease","E6..Other","E..Care..Support.and.Health.Economics.of.Alzheimer.s.Disease..Total.Funding.","TotalADResearchFunding"
"70","National Institute of General Medical Sciences (NIH/NIGMS)",2009,2323394,267744,0,356561,0,1439439,0,615104,0,0,0,0,5002242,0,0,104413,0,261935,0,0,366348,314161,0,0,0,0,0,0,0,0,0,314161,0,0,0,0,0,0,0,0,0,0,0,0,0,5682751
"74","National Institute of Mental Health (NIH/NIMH)",2009,513895,338491,0,0,0,0,731770,0,0,326250,761480,634131,3306017,0,0,0,613481,0,321433,0,934914,0,0,0,0,0,0,0,611337,252282,0,863619,0,0,0,0,1763480,1763480,781714,0,130707,0,0,0,912421,7780451
"78","National Institute of Neurological Disorders and Stroke (NIH/NINDS)",2009,11121288,3415179,2449163,1255706,2555561,1994093,1400208,0,3805869,259001,1376556,597114,30229738,0,540675,0,234461,0,712096,0,1487232,3236749,343217,0,0,0,0,0,0,0,0,3579966,150838,1099865,0,804068,0,2054771,0,0,0,0,0,0,0,37351707
"82","National Institute of Nursing Research (NIH/NINR)",2009,0,0,0,0,0,0,0,0,429188,0,0,0,429188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306681,0,1503096,0,0,74964,2884741,3313929
"86","Office of the Director (NIH/OD)",2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","National Institutes of Health (NIH)",2009,55832670,11869351,5120006,14348874,13509337,11269926,16724129,4006099,9039525,5509249,31772019,1926750,180927935,4173413,32057285,10353803,18311129,6115184,3389138,271750,74671702,13025969,9253358,2088530,55440,8720016,6641998,7395027,3674556,1261451,0,52116345,6750456,3797911,1775325,24216405,2449493,38989590,4217935,137997,6101751,0,1526997,275390,12260070,358965642
"94","Administration on Aging (AoA)",2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6723755,0,0,0,6723755,6723755
"98","Agency for Healthcare Research and Quality (AHRQ)",2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285380,285380,0,0,0,0,0,0,0,285380
"102","Alzheimer's Association",2009,1927300,989778,280000,80000,999553,360000,450000,4e+05,380000,200000,840000,0,6906631,80000,1967207,480000,1179190,277098,0,0,3983495,1489997,0,0,359006,0,0,440000,0,0,0,2289003,0,79957,0,298100,0,378057,320000,320000,80000,420000,0,0,1140000,14697186
"106","Alzheimer's Drug Discovery Foundation",2009,0,0,0,0,0,0,0,0,0,0,0,0,0,195000,0,0,2e+05,0,0,0,395000,2550099,1e+05,0,0,0,180000,0,0,0,175000,3005099,0,0,0,0,0,0,0,0,0,0,0,0,0,3400099
"110","Alzheimer's Research UK",2009,1201844.69,702739.88,0,0,0,0,0,0,221105.9,0,1455182.98,0,3580873.45,0,48318.77,0,167726.4,0,0,0,216045.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3796918.61
"114","Centers for Disease Control and Prevention (CDC)",2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449829,0,0,0,449829,0,0,0,0,750000,750000,0,0,0,0,0,0,0,1199829
"118","Department of Veterans Affairs (VA)",2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122","United States Army Medical Research and Materiel Command ",2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
