Funding Organization,FY,A1. Amyloid,A2. Tau,A3. Presenilins,A4. ApoE and Lipids,A5. Brain Circuits and Synapses,A6. Cell Death,A7. Immunity and Inflammation,A8. Bioenergetics,A9. Vascular/ Metabolic Factors,A10. Hormones,A11. Genetics,A12. Other Pathogenic Mechanisms,A. Molecular Pathogenesis and Physiology of Alzheimer's Disease (Total Funding),B1. Fluid Biomarkers,B2. Imaging Biomarkers,"B3. Cognitive, Behavioral and Functional Assessment",B4. Multimodal Biomarkers,B5. Novel Biomarkers,B6. Novel Methodologies and Techniques,B7. Other,"B. Diagnosis, Assessment and Disease Monitoring (Total Funding)",C1. Drug Discovery (small molecules and biologics) ,C2. Preclinical Drug Development (small molecules and biologics) ,C3. Preclinical Proof of Concept for Non-Pharmacological Interventions ,C4. Clinical Trial Design,C5. Early stage Clinical Drug Development (Phase I and II Clinical Trials),C6. Late Stage Clinical Drug Development  (Phase III Clinical Trials) ,C7. Non-Pharmacological Interventions: Clinical Trials ,C8. Clinical Therapy Development for the Neuropsychiatric Symptoms of AD,C9. Clinical Ethics,C10. Other,C. Translational Research and Clinical Interventions (Total Funding),D1. Genetic/ Epigenetic Risks,D2. Cardiovascular and Metabolic Factors,D3. Nutrition and Other Environmental Factors,D4. Multimodal Risk Factors,D5. Other,D. Epidemiology (Total Funding),E1. Care Interventions and Quality of Life,E2. Technology Assisted Care,E3. Caregiver Support,E4. Cultural Values and Beliefs,E5. Economic Burden of Alzheimer's Disease,E6. Other,"E. Care, Support and Health Economics of Alzheimer's Disease (Total Funding)",Total AD Research Funding
"National Heart, Lung, and Blood Institute (NIH/NHLBI)",2009,,,,716837.00,,1915627.00,,,,,,,2632464.00,,,,379817.00,,,,379817.00,,,,,,,,,,,,,,,,,,,,,,,,,3012281.00
"National Heart, Lung, and Blood Institute (NIH/NHLBI)",2010,,,,791796.00,,,,,,,,,791796.00,,3360279.00,,372460.00,,,,3732739.00,,,,,,,,,,,,,,,,,,,,,,,,,4524535.00
"National Heart, Lung, and Blood Institute (NIH/NHLBI)",2011,248802.00,,,396250.00,,,,,,,,,645052.00,,4322072.00,,,,,,4322072.00,,,,,,,,,,,,,,,,,,,,,,,,,4967124.00
National Institute on Aging (NIH/NIA),2008,28190367.00,7944598.00,2234329.00,10517592.00,6839218.00,8471850.00,7660073.00,3077127.00,2575606.00,3348344.00,12461879.00,,93320983.00,2585921.00,16117370.00,9244572.00,14972211.00,2510207.00,297164.00,,45727445.00,8106818.00,7014532.00,463151.00,,6184391.00,1103923.00,5183796.00,1882954.00,987746.00,,30927311.00,5303692.00,2282498.00,1122748.00,19676818.00,65268.00,28451024.00,2170912.00,112527.00,3749848.00,,1001121.00,,7034408.00,205461171.00
National Institute on Aging (NIH/NIA),2009,36090008.00,7790033.00,2670843.00,11579977.00,9647717.00,5920767.00,11329576.00,3202345.00,3613488.00,4233938.00,28273059.00,322980.00,124674731.00,4173413.00,30307430.00,10194590.00,15397815.00,5319162.00,795344.00,,66187754.00,9450059.00,8910141.00,463151.00,55440.00,8720016.00,6641998.00,7247497.00,3063219.00,1009169.00,,45560690.00,6599618.00,2698046.00,1775325.00,23408931.00,423448.00,34905368.00,1514411.00,137997.00,4285210.00,,1526997.00,41176.00,7505791.00,278834334.00
National Institute on Aging (NIH/NIA),2010,33838530.00,5700568.00,2350438.00,9305979.00,9658427.00,5898311.00,10181577.00,1694990.00,3859958.00,3298068.00,21422936.00,478595.00,107688377.00,4268799.00,32091196.00,12952314.00,18893660.00,3768757.00,1236889.00,,73211615.00,9892526.00,10513724.00,258785.00,54886.00,7653056.00,9653219.00,10716817.00,2942712.00,992589.00,,52678314.00,6184508.00,3177473.00,1706152.00,27450971.00,187659.00,38706763.00,1648099.00,,3503351.00,,1582722.00,,6734172.00,279019241.00
National Institute on Aging (NIH/NIA),2011,30282974.00,6352686.00,1862937.00,9529389.00,6816306.00,6296015.00,7902777.00,3422786.00,3617098.00,1827969.00,15407741.00,3927526.00,97246204.00,4358521.00,23790577.00,6830878.00,23126857.00,1475643.00,1295924.00,,60878400.00,11839512.00,9341823.00,,561235.00,5321612.00,115344.00,7898353.00,3383559.00,,,38461438.00,6067388.00,1664630.00,1718738.00,18169904.00,2195849.00,29816509.00,1339084.00,135061.00,2457950.00,,882752.00,41800.00,4856647.00,231259198.00
National Institute of Allergy and Infectious Diseases (NIH/NIAID),2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Institute of Allergy and Infectious Diseases (NIH/NIAID),2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Institute of Allergy and Infectious Diseases (NIH/NIAID),2010,433260.00,,,,,,,,,,,,433260.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433260.00
National Institute of Allergy and Infectious Diseases (NIH/NIAID),2011,470727.00,,,,,,423750.00,,,,,,894477.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894477.00
National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIH/NIAMS),2008,300563.00,,,,,,,,,,,,300563.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300563.00
National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIH/NIAMS),2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIH/NIAMS),2010,803844.00,,,,,,,,,,,,803844.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803844.00
National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIH/NIAMS),2011,493388.00,,,,,,,,,,,,493388.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493388.00
National Institute of Biomedical Imaging and Bioengineering (NIH/NIBIB),2008,,,,,,,,,,,,,,,855711.00,,,,344872.00,,1200583.00,,,,,,,,,,,,,,,,,,,,,,,,,1200583.00
National Institute of Biomedical Imaging and Bioengineering (NIH/NIBIB),2009,,,,,,,,,,,,,,,682025.00,,,,448084.00,,1130109.00,,,,,,,,,,,,,,,,,,,,,,,,,1130109.00
National Institute of Biomedical Imaging and Bioengineering (NIH/NIBIB),2010,40648.00,,,,,,,,,,,,40648.00,,661281.00,,,,341424.00,,1002705.00,,,,,,,,,,,,,,,,,,,,,,,,,1043353.00
National Institute of Biomedical Imaging and Bioengineering (NIH/NIBIB),2011,25512.00,,,,,,,,,,,,25512.00,,90072.00,324000.00,,,718809.00,,1132881.00,,,,,,,,,,,,,,,,,,,,,,,,,1158393.00
National Institute of Child Health and Human Development (NIH/NICHD),2008,669254.00,198429.00,,9516.00,670698.00,,,188650.00,,,,521790.00,2258337.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2258337.00
National Institute of Child Health and Human Development (NIH/NICHD),2009,983524.00,,,44632.00,578030.00,,,188650.00,,,,50054.00,1844890.00,,,,952115.00,,,,952115.00,,,,,,,,,,,,,,,,,,,,,,,,,2797005.00
National Institute of Child Health and Human Development (NIH/NICHD),2010,973688.00,,,9422.00,588346.00,,,50654.00,421083.00,,,,2043193.00,,,137144.00,1050182.00,,,,1187326.00,,,,,,,,,,,,217974.00,,,,,217974.00,,,,,,,,3448493.00
National Institute of Child Health and Human Development (NIH/NICHD),2011,1013241.00,,,,576352.00,,,,378334.00,,,,1967927.00,,,131216.00,923200.00,,,,1054416.00,,,,,,,,,,,,227241.00,,,,,227241.00,,,,,,,,3249584.00
National Institute on Drug Abuse (NIH/NIDA),2008,,,,,273956.00,,,,,,,,273956.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273956.00
National Institute on Drug Abuse (NIH/NIDA),2009,,,,,,,376250.00,,,,,,376250.00,,,,,,,,,25000.00,,,,,,,,,,25000.00,,,,,,,,,,,,,,401250.00
National Institute on Drug Abuse (NIH/NIDA),2010,,,,,225000.00,,372488.00,,,,,,597488.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597488.00
National Institute on Drug Abuse (NIH/NIDA),2011,48750.00,,,,181875.00,,358912.00,,,,,,589537.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589537.00
National Institute on Deafness and Other Communication Disorders (NIH/NIDCD),2008,,,,190606.00,,,,,,,,,190606.00,,315589.00,,,,,,315589.00,,,,,,,,,,,,,,,,,,,,,,,,,506195.00
National Institute on Deafness and Other Communication Disorders (NIH/NIDCD),2009,,,,,728029.00,,,,,,,,728029.00,,527155.00,,733440.00,406309.00,750001.00,,2416905.00,,,,,,,,,,,,,,,,,,326188.00,,,,,,326188.00,3471122.00
National Institute on Deafness and Other Communication Disorders (NIH/NIDCD),2010,,,,,,,,,,,,,,,486745.00,,886510.00,384030.00,669843.00,,2427128.00,,,,,,,,,,,,,,,,,,322926.00,,,,,,322926.00,2750054.00
National Institute on Deafness and Other Communication Disorders (NIH/NIDCD),2011,,,,,,,,,,,,,,,,493088.00,869297.00,192498.00,663145.00,,2218028.00,,,,,,,,,,,,,,,,,,312592.00,,,,,,312592.00,2530620.00
National Institute of Diabetes and Digestive and Kidney Diseases (NIH/NIDDK),2008,1755027.00,,,,,,,,636834.00,,,326494.00,2718355.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2718355.00
National Institute of Diabetes and Digestive and Kidney Diseases (NIH/NIDDK),2009,2792550.00,,,,,,724055.00,,712775.00,,,,4229380.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4229380.00
National Institute of Diabetes and Digestive and Kidney Diseases (NIH/NIDDK),2010,2521165.00,,,,,,,,859489.00,,,,3380654.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185000.00,,,185000.00,3565654.00
National Institute of Diabetes and Digestive and Kidney Diseases (NIH/NIDDK),2011,3018471.00,,,,,,,,743342.00,,,387671.00,4149484.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183150.00,,,183150.00,4332634.00
National Institute of Environmental Health Sciences (NIH/NIEHS),2008,1374507.00,,,288563.00,,,1999178.00,,,,,,3662248.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3662248.00
National Institute of Environmental Health Sciences (NIH/NIEHS),2009,678444.00,,,288563.00,,,1726382.00,,478205.00,690060.00,,258193.00,4119847.00,,,,,,,,,,,,,,,,,,,,,,,,262565.00,262565.00,,,,,,,,4382412.00
National Institute of Environmental Health Sciences (NIH/NIEHS),2010,589531.00,,,313278.00,,,,,475553.00,512837.00,,348773.00,2239972.00,,,,,,,,,,,,,,,,,,,,76880.00,,,,202009.00,278889.00,,,,,,,,2518861.00
National Institute of Environmental Health Sciences (NIH/NIEHS),2011,,,,282821.00,,,,,,,,315069.00,597890.00,,,,,,,,,,,,,,,,,,,,77220.00,,,,,77220.00,,,,,,,,675110.00
National Institute of General Medical Sciences (NIH/NIGMS),2008,1480301.00,252643.00,,41199.00,,1026985.00,,,,,,,2801128.00,,,109357.00,,293935.00,,,403292.00,,,,,,,,,,,,,,,,,,,,,,,,,3204420.00
National Institute of General Medical Sciences (NIH/NIGMS),2009,2323394.00,267744.00,,356561.00,,1439439.00,,615104.00,,,,,5002242.00,,,104413.00,,261935.00,,,366348.00,314161.00,,,,,,,,,,314161.00,,,,,,,,,,,,,,5682751.00
National Institute of General Medical Sciences (NIH/NIGMS),2010,1558646.00,,,325114.00,,1317707.00,,626685.00,,,,,3828152.00,,,108750.00,,103704.00,,,212454.00,272664.00,,,,,,,,,,272664.00,,,,,,,,,,,,,,4313270.00
National Institute of General Medical Sciences (NIH/NIGMS),2011,1822672.00,287452.00,,322740.00,,620369.00,,619904.00,,,,,3673137.00,,,107663.00,,,,,107663.00,275403.00,,,,,,,,,,275403.00,,,,,,,,,,,,,,4056203.00
National Institute of Mental Health (NIH/NIMH),2008,,338491.00,,,570116.00,,42680.00,,,326250.00,785119.00,634059.00,2696715.00,,1630442.00,158338.00,752729.00,,321433.00,,2862942.00,,,,,,,,1346780.00,282225.00,,1629005.00,,,,40000.00,1038323.00,1078323.00,400577.00,,127120.00,,,,527697.00,8794682.00
National Institute of Mental Health (NIH/NIMH),2009,513895.00,338491.00,,,,,731770.00,,,326250.00,761480.00,634131.00,3306017.00,,,,613481.00,,321433.00,,934914.00,,,,,,,,611337.00,252282.00,,863619.00,,,,,1763480.00,1763480.00,781714.00,,130707.00,,,,912421.00,7780451.00
National Institute of Mental Health (NIH/NIMH),2010,539074.00,338491.00,,,,,1216977.00,,,326250.00,1173359.00,,3594151.00,,,,641846.00,,,,641846.00,,,,,,,,,,,,,,,,1103267.00,1103267.00,596342.00,,,,,,596342.00,5935606.00
National Institute of Mental Health (NIH/NIMH),2011,148043.00,,,41800.00,,,,,,322988.00,1125894.00,,1638725.00,,,,610982.00,,,,610982.00,47750.00,,,,,,,,,,47750.00,,,,,1262813.00,1262813.00,,,,,,,,3560270.00
National Institute of Neurological Disorders and Stroke (NIH/NINDS),2008,7126343.00,2716879.00,2204351.00,978583.00,1515961.00,1899566.00,1981304.00,,3917566.00,483859.00,2590367.00,769340.00,26184119.00,366875.00,1476524.00,498437.00,,,267630.00,,2609466.00,3153320.00,567335.00,,,,,,,,,3720655.00,,171504.00,,781441.00,,952945.00,,,32172.00,,,,32172.00,33499357.00
National Institute of Neurological Disorders and Stroke (NIH/NINDS),2009,11121288.00,3415179.00,2449163.00,1255706.00,2555561.00,1994093.00,1400208.00,,3805869.00,259001.00,1376556.00,597114.00,30229738.00,,540675.00,,234461.00,,712096.00,,1487232.00,3236749.00,343217.00,,,,,,,,,3579966.00,150838.00,1099865.00,,804068.00,,2054771.00,,,,,,,,37351707.00
National Institute of Neurological Disorders and Stroke (NIH/NINDS),2010,11910106.00,2653669.00,1750272.00,1202741.00,2199927.00,3161140.00,1448994.00,,3457472.00,,3161626.00,1102092.00,32048039.00,,507219.00,,686372.00,,352675.00,,1546266.00,2506143.00,938392.00,,,,,,,,,3444535.00,174143.00,773396.00,,725224.00,,1672763.00,,,,,,,,38711603.00
National Institute of Neurological Disorders and Stroke (NIH/NINDS),2011,9893963.00,3070821.00,2459645.00,1153010.00,2806603.00,2669927.00,1484600.00,,1675418.00,,3054771.00,1071914.00,29340672.00,,777331.00,,1127686.00,,422500.00,,2327517.00,2818494.00,2162599.00,,,,,,,,,4981093.00,140918.00,648507.00,,447201.00,,1236626.00,,,,,,,,37885908.00
National Institute of Nursing Research (NIH/NINR),2008,,,,,,,,,429188.00,,,,429188.00,,,96912.00,,,,,96912.00,,,,,,,,,,,,,,,,,,1623609.00,,1308122.00,,,89479.00,3021210.00,3547310.00
National Institute of Nursing Research (NIH/NINR),2009,,,,,,,,,429188.00,,,,429188.00,,,,,,,,,,,,,,,,,,,,,,,,,,1306681.00,,1503096.00,,,74964.00,2884741.00,3313929.00
National Institute of Nursing Research (NIH/NINR),2010,,,,,,,,,511435.00,,,,511435.00,,,,,,,,,,,,,,,,,,,,,,,,,,1386393.00,,1213199.00,,,,2599592.00,3111027.00
National Institute of Nursing Research (NIH/NINR),2011,,,,,,,,,420648.00,,,,420648.00,,,,,,,,,,,,,,,,,,,,,,,,,,698880.00,,960938.00,,,,1659818.00,2080466.00
Office of the Director (NIH/OD),2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office of the Director (NIH/OD),2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office of the Director (NIH/OD),2010,,,,,1732986.00,,,,,,,,1732986.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1732986.00
Office of the Director (NIH/OD),2011,,,,,777150.00,,,,,,,,777150.00,,2272500.00,,,,,,2272500.00,2407500.00,,,,,,,,,,2407500.00,,,,,,,,,,,,,,5457150.00
National Institutes of Health (NIH),2008,41428523.00,11451040.00,4658338.00,12835834.00,9869949.00,12754509.00,12374013.00,3267228.00,7559194.00,4158453.00,17874679.00,2315576.00,140547336.00,2952796.00,20395636.00,10143216.00,16103243.00,2931920.00,1803969.00,266315.00,54597095.00,11260138.00,7581867.00,1950742.00,,6184391.00,1103923.00,7176867.00,3229734.00,1269971.00,,39757633.00,5303692.00,2454002.00,1122748.00,20508564.00,1103591.00,30492597.00,4492328.00,112527.00,5433149.00,,1001121.00,368167.00,11407292.00,276801953.00
National Institutes of Health (NIH),2009,55832670.00,11869351.00,5120006.00,14348874.00,13509337.00,11269926.00,16724129.00,4006099.00,9039525.00,5509249.00,31772019.00,1926750.00,180927935.00,4173413.00,32057285.00,10353803.00,18311129.00,6115184.00,3389138.00,271750.00,74671702.00,13025969.00,9253358.00,2088530.00,55440.00,8720016.00,6641998.00,7395027.00,3674556.00,1261451.00,,52116345.00,6750456.00,3797911.00,1775325.00,24216405.00,2449493.00,38989590.00,4217935.00,137997.00,6101751.00,,1526997.00,275390.00,12260070.00,358965642.00
National Institutes of Health (NIH),2010,54288652.00,8750632.00,4100710.00,11948330.00,14404686.00,10377158.00,13765908.00,2562599.00,9584990.00,4137155.00,26647105.00,1998096.00,162566021.00,4268799.00,38141155.00,13253035.00,22747077.00,4384269.00,3202344.00,269033.00,86265712.00,12671333.00,11452116.00,1771417.00,54886.00,7653056.00,9653219.00,10958418.00,2942712.00,992589.00,,58149746.00,6653505.00,3950869.00,1706152.00,28321825.00,1492935.00,42125286.00,3953760.00,,4716550.00,185000.00,1582722.00,,10438032.00,359544797.00
National Institutes of Health (NIH),2011,48124477.00,9768284.00,4322582.00,11726010.00,11158286.00,9586311.00,10717185.00,4144576.00,6834840.00,2150957.00,19588406.00,5702180.00,143824094.00,4358521.00,31252552.00,7928004.00,26658022.00,1795919.00,3696863.00,,75689881.00,17459011.00,11504422.00,1546349.00,561235.00,5321612.00,115344.00,7898353.00,3383559.00,,,47789885.00,6512767.00,2623655.00,1718738.00,18743955.00,3458662.00,33057777.00,2350556.00,135061.00,3581058.00,183150.00,882752.00,41800.00,7174377.00,307536014.00
Administration on Aging (AoA),2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5482442.00,,,,5482442.00,5482442.00
Administration on Aging (AoA),2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6723755.00,,,,6723755.00,6723755.00
Administration on Aging (AoA),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4215853.00,,,,4215853.00,4215853.00
Administration on Aging (AoA),2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3227887.00,,,,3227887.00,3227887.00
Agency for Healthcare Research and Quality (AHRQ),2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133643.00,133643.00,,,,,,,,133643.00
Agency for Healthcare Research and Quality (AHRQ),2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285380.00,285380.00,,,,,,,,285380.00
Agency for Healthcare Research and Quality (AHRQ),2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151742.00,151742.00,8724119.00,,,,,,8724119.00,8875861.00
Agency for Healthcare Research and Quality (AHRQ),2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151146.00,151146.00,329495.00,,,,,,329495.00,480641.00
Alzheimer's Association,2008,4829435.00,339816.00,200000.00,900000.00,1215588.00,340000.00,1445647.00,340000.00,540000.00,232080.00,1128000.00,,11510566.00,538767.00,1954053.00,539715.00,,327116.00,,,3359651.00,2105417.00,238936.00,239426.00,,,,477449.00,100000.00,,,3161228.00,438362.00,335501.00,,425526.00,478770.00,1678159.00,2073553.00,483010.00,718725.00,239080.00,,,3514368.00,23223972.00
Alzheimer's Association,2009,1927300.00,989778.00,280000.00,80000.00,999553.00,360000.00,450000.00,400000.00,380000.00,200000.00,840000.00,,6906631.00,80000.00,1967207.00,480000.00,1179190.00,277098.00,,,3983495.00,1489997.00,,,359006.00,,,440000.00,,,,2289003.00,,79957.00,,298100.00,,378057.00,320000.00,320000.00,80000.00,420000.00,,,1140000.00,14697186.00
Alzheimer's Association,2010,2229624.00,410000.00,80000.00,80000.00,599970.00,440000.00,400000.00,719999.00,960000.00,,160000.00,,6079593.00,200000.00,929201.00,80000.00,600000.00,,80000.00,,1889201.00,3119210.00,,80000.00,,449966.00,,,,,,3649176.00,,80000.00,,77422.00,,157422.00,840000.00,364040.00,,180000.00,,,1384040.00,13159432.00
Alzheimer's Association,2011,2097782.00,895935.00,400000.00,,1948504.00,497443.00,100000.00,100000.00,650000.00,,448749.00,,7138413.00,650000.00,499988.00,,,100000.00,,,1249988.00,1149890.00,,,,,,399223.00,,,,1549113.00,149831.00,99662.00,100000.00,200000.00,199778.00,749271.00,579990.00,200000.00,,200000.00,,,979990.00,11666775.00
