Name: “Table 1 of 1 on page 10 of 12”,Name: “Table 1 of 1 on page 10 of 12”,Name: “Table 1 of 1 on page 10 of 12”,Name: “Table 1 of 1 on page 10 of 12”,Name: “Table 1 of 1 on page 10 of 12”
,"Indianapolis, IN",,,
"The content of this report has been obtained through public, government and industry sources, and the Adis “R&D Insight”","The content of this report has been obtained through public, government and industry sources, and the Adis “R&D Insight”","The content of this report has been obtained through public, government and industry sources, and the Adis “R&D Insight”","The content of this report has been obtained through public, government and industry sources, and the Adis “R&D Insight”","The content of this report has been obtained through public, government and industry sources, and the Adis “R&D Insight”"
"data-base based on the latest information. Report current as of October 8, 2013. The medicines in this report include medicines","data-base based on the latest information. Report current as of October 8, 2013. The medicines in this report include medicines","data-base based on the latest information. Report current as of October 8, 2013. The medicines in this report include medicines","data-base based on the latest information. Report current as of October 8, 2013. The medicines in this report include medicines","data-base based on the latest information. Report current as of October 8, 2013. The medicines in this report include medicines"
"being developed by U.S. based companies conducting trials in the United States and abroad, PhRMA-member companies","being developed by U.S. based companies conducting trials in the United States and abroad, PhRMA-member companies","being developed by U.S. based companies conducting trials in the United States and abroad, PhRMA-member companies","being developed by U.S. based companies conducting trials in the United States and abroad, PhRMA-member companies","being developed by U.S. based companies conducting trials in the United States and abroad, PhRMA-member companies"
"conducting trials in the United States and abroad, and foreign companies conducting clinical trials in the United States. The","conducting trials in the United States and abroad, and foreign companies conducting clinical trials in the United States. The","conducting trials in the United States and abroad, and foreign companies conducting clinical trials in the United States. The","conducting trials in the United States and abroad, and foreign companies conducting clinical trials in the United States. The","conducting trials in the United States and abroad, and foreign companies conducting clinical trials in the United States. The"
"information in this report may not be comprehensive. For more specific information about a particular product, contact the","information in this report may not be comprehensive. For more specific information about a particular product, contact the","information in this report may not be comprehensive. For more specific information about a particular product, contact the","information in this report may not be comprehensive. For more specific information about a particular product, contact the","information in this report may not be comprehensive. For more specific information about a particular product, contact the"
individual company directly or go to www.clinicaltrials.gov. The entire series of Medicines in Development is available on,individual company directly or go to www.clinicaltrials.gov. The entire series of Medicines in Development is available on,individual company directly or go to www.clinicaltrials.gov. The entire series of Medicines in Development is available on,individual company directly or go to www.clinicaltrials.gov. The entire series of Medicines in Development is available on,individual company directly or go to www.clinicaltrials.gov. The entire series of Medicines in Development is available on
PhRMA’s website.,,,,
A publication of PhRMA’s Communications & Public Affairs Department. (202) 835-3460,A publication of PhRMA’s Communications & Public Affairs Department. (202) 835-3460,A publication of PhRMA’s Communications & Public Affairs Department. (202) 835-3460,,
www.phrma.org | www.innovation.org | www.pparx.org,www.phrma.org | www.innovation.org | www.pparx.org,,,
Provided as a Public Service by PhRMA. Founded in 1958 as the Pharmaceutical Manufacturers Association.,Provided as a Public Service by PhRMA. Founded in 1958 as the Pharmaceutical Manufacturers Association.,Provided as a Public Service by PhRMA. Founded in 1958 as the Pharmaceutical Manufacturers Association.,Provided as a Public Service by PhRMA. Founded in 1958 as the Pharmaceutical Manufacturers Association.,Provided as a Public Service by PhRMA. Founded in 1958 as the Pharmaceutical Manufacturers Association.
Copyright © 2013 by the Pharmaceutical Research and Manufacturers of America. Permission to reprint is awarded if proper,Copyright © 2013 by the Pharmaceutical Research and Manufacturers of America. Permission to reprint is awarded if proper,Copyright © 2013 by the Pharmaceutical Research and Manufacturers of America. Permission to reprint is awarded if proper,Copyright © 2013 by the Pharmaceutical Research and Manufacturers of America. Permission to reprint is awarded if proper,Copyright © 2013 by the Pharmaceutical Research and Manufacturers of America. Permission to reprint is awarded if proper
credit is given.,,,,
Pharmaceutical Research and Manufacturers of America,Pharmaceutical Research and Manufacturers of America,•,"950 F Street, NW, Washington, DC 20004","950 F Street, NW, Washington, DC 20004"
10,,,Medicines in Development,Alzheimer’s Disease 2013
